question,answer
What is the capital of France?,Paris
2 + 2 = ?,4
Who wrote "Harry Potter"?,J.K. Rowling
Python list method to add an item?,append
Which is the capital of India?,New Delhi
Which is the largest planet in our Solar System?,Jupiter
Who wrote the Indian national anthem?,Rabindranath Tagore
Which is the longest river in the world?,Nile
Who was the first Prime Minister of India?,Jawaharlal Nehru
What is the chemical symbol for water?,H2O
Which is the fastest land animal?,Cheetah
Which continent is known as the Dark Continent?,Africa
Who invented the telephone?,Alexander Graham Bell
Which is the smallest ocean in the world?,Arctic Ocean
What is the national flower of India?,Lotus
Which is the largest desert in the world?,Sahara Desert
What is the currency of Japan?,Yen
Who is known as the Father of the Nation in India?,Mahatma Gandhi
Which planet is known as the Red Planet?,Mars
What is the hardest natural substance on Earth?,Diamond

